Program,Year,Period,Commodity,Data Item,Domain,Value,CV (%)
SURVEY,1998,NOV,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,96.6,
SURVEY,1998,NOV,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,30.4,
SURVEY,1998,NOV,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,41.4,
SURVEY,1998,NOV,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,56.6,
SURVEY,1998,OCT,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,95.5,
SURVEY,1998,OCT,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,31.1,
SURVEY,1998,OCT,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,42,
SURVEY,1998,OCT,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,57,
SURVEY,1998,SEP,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,94.8,
SURVEY,1998,SEP,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.7,
SURVEY,1998,SEP,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,43.1,
SURVEY,1998,SEP,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,56,
SURVEY,1998,YEAR,CATTLE,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,44.4,
SURVEY,1997,APR,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,94.9,
SURVEY,1997,APR,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,40.2,
SURVEY,1997,APR,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,50.4,
SURVEY,1997,APR,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,64.6,
SURVEY,1997,AUG,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,99.7,
SURVEY,1997,AUG,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,36.7,
SURVEY,1997,AUG,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,47.8,
SURVEY,1997,AUG,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,63.1,
SURVEY,1997,DEC,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,101.2,
SURVEY,1997,DEC,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.7,
SURVEY,1997,DEC,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,45.7,
SURVEY,1997,DEC,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,62.2,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",TOTAL,"11,700",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,4.5,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,18,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,10.5,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,7.7,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,24,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,43,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,2.8,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"4,600",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"2,000",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,450,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"8,500",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"9,400",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,50,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",TOTAL,"25,000",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",9.7,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",2.8,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",58,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",23,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",6.5,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","20,000",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES",70,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","13,770",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","12,800",
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES",360,
SURVEY,1997,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",TOTAL,"47,000",
SURVEY,1997,FEB,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,94.2,
SURVEY,1997,FEB,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,34.6,
SURVEY,1997,FEB,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,45.9,
SURVEY,1997,FEB,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,61.5,
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"35,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"820,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,620,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"210,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,410,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"80,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"50,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"670,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,600,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"2,556,000,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,710,
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",CAPACITY,"139,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"150,000",
SURVEY,1997,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"325,000",
SURVEY,1997,JAN,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,91.4,
SURVEY,1997,JAN,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,32.1,
SURVEY,1997,JAN,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,44.1,
SURVEY,1997,JAN,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,60.7,
SURVEY,1997,JUL,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,93.7,
SURVEY,1997,JUL,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,39.6,
SURVEY,1997,JUL,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,49.7,
SURVEY,1997,JUL,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,63.6,
SURVEY,1997,JUN,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,98.1,
SURVEY,1997,JUN,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,39.1,
SURVEY,1997,JUN,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,49.2,
SURVEY,1997,JUN,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,63.1,
SURVEY,1997,MAR,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,96.7,
SURVEY,1997,MAR,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,38.7,
SURVEY,1997,MAR,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,48.9,
SURVEY,1997,MAR,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,63,
SURVEY,1997,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,060",
SURVEY,1997,MAY,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,96.9,
SURVEY,1997,MAY,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,39.9,
SURVEY,1997,MAY,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,50.1,
SURVEY,1997,MAY,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,64.3,
SURVEY,1997,NOV,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,100.7,
SURVEY,1997,NOV,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,32.7,
SURVEY,1997,NOV,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,45.3,
SURVEY,1997,NOV,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,62.7,
SURVEY,1997,OCT,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,101.4,
SURVEY,1997,OCT,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,34.7,
SURVEY,1997,OCT,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,46.4,
SURVEY,1997,OCT,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,62.6,
SURVEY,1997,SEP,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,104.4,
SURVEY,1997,SEP,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,35.3,
SURVEY,1997,SEP,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,46.9,
SURVEY,1997,SEP,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,62.8,
SURVEY,1997,YEAR,CATTLE,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,47.4,
SURVEY,1996,APR,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,97.2,
SURVEY,1996,APR,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,31.9,
SURVEY,1996,APR,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,40.2,
SURVEY,1996,APR,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,51.6,
SURVEY,1996,AUG,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,93.4,
SURVEY,1996,AUG,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.9,
SURVEY,1996,AUG,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,44.1,
SURVEY,1996,AUG,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,58.2,
SURVEY,1996,DEC,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,91.9,
SURVEY,1996,DEC,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,29.7,
SURVEY,1996,DEC,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,42.9,
SURVEY,1996,DEC,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,61.1,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY",TOTAL,"11,000",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,6,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,17,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,8,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,26,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - INVENTORY, MEASURED IN PCT BY SIZE GROUP",INVENTORY OF MILK COWS,43,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"5,400",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"2,000",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,400,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"9,600",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",INVENTORY OF MILK COWS,"9,600",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY",TOTAL,"27,000",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",9.8,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",2.2,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",58,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",24,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN PCT BY SIZE GROUP","INVENTORY OF CATTLE, INCL CALVES",6,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","20,300",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES",60,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","13,990",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","13,300",
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES",350,
SURVEY,1996,END OF DEC,CATTLE,"CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY",TOTAL,"48,000",
SURVEY,1996,FEB,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,97.3,
SURVEY,1996,FEB,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.3,
SURVEY,1996,FEB,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,42.5,
SURVEY,1996,FEB,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,55.1,
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, BULLS, GE 500 LBS - INVENTORY",TOTAL,"35,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,"850,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, COWS - INVENTORY",TOTAL,"1,680,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, COWS, BEEF - INVENTORY",TOTAL,"205,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, COWS, MILK - INVENTORY",TOTAL,"1,475,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, (EXCL REPLACEMENT) - INVENTORY",TOTAL,"80,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, BEEF REPLACEMENT - INVENTORY",TOTAL,"50,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, HEIFERS, GE 500 LBS, MILK REPLACEMENT - INVENTORY",TOTAL,"680,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY",TOTAL,"3,700,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $",TOTAL,"2,553,000,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, INCL CALVES - INVENTORY, MEASURED IN $ / HEAD",TOTAL,690,
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, ON FEED - INVENTORY",TOTAL,"150,000",
SURVEY,1996,FIRST OF JAN,CATTLE,"CATTLE, STEERS, GE 500 LBS - INVENTORY",TOTAL,"325,000",
SURVEY,1996,JAN,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,96.8,
SURVEY,1996,JAN,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.7,
SURVEY,1996,JAN,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,43.1,
SURVEY,1996,JAN,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,56,
SURVEY,1996,JUL,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,88.8,
SURVEY,1996,JUL,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.4,
SURVEY,1996,JUL,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,43.4,
SURVEY,1996,JUL,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,57.1,
SURVEY,1996,JUN,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,90.3,
SURVEY,1996,JUN,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,32.6,
SURVEY,1996,JUN,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,41.3,
SURVEY,1996,JUN,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,53.2,
SURVEY,1996,MAR,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,97,
SURVEY,1996,MAR,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.1,
SURVEY,1996,MAR,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,42.6,
SURVEY,1996,MAR,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,55.7,
SURVEY,1996,MARKETING YEAR,CATTLE,"CATTLE, COWS, MILK - PRICE RECEIVED, MEASURED IN $ / HEAD",TOTAL,"1,060",
SURVEY,1996,MAY,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,91.3,
SURVEY,1996,MAY,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,33.4,
SURVEY,1996,MAY,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,41,
SURVEY,1996,MAY,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,51.4,
SURVEY,1996,NOV,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,92.9,
SURVEY,1996,NOV,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,29.7,
SURVEY,1996,NOV,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,44,
SURVEY,1996,NOV,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,63.7,
SURVEY,1996,OCT,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,94.8,
SURVEY,1996,OCT,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,31.8,
SURVEY,1996,OCT,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,44.1,
SURVEY,1996,OCT,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,61.2,
SURVEY,1996,SEP,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,94.1,
SURVEY,1996,SEP,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,32.4,
SURVEY,1996,SEP,CATTLE,"CATTLE, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,44,
SURVEY,1996,SEP,CATTLE,"CATTLE, STEERS & HEIFERS, GE 500 LBS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,59.9,
SURVEY,1996,YEAR,CATTLE,"CATTLE, (EXCL CALVES) - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,42.8,
SURVEY,1995,APR,CATTLE,"CATTLE, CALVES - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,115,
SURVEY,1995,APR,CATTLE,"CATTLE, COWS - PRICE RECEIVED, MEASURED IN $ / CWT",TOTAL,38.6,
